"Investing.Company","stateab","newstext"
"Saint-Gobain","AR","$161 million in misspent unemployment benefits revealed   New data from the U.S. Department of Labor indicate that Arkansas apparently made $161 million in erroneous unemployment payments during a time when the state's trust fund for benefits ran a deficit.The $161 million misspent funds in Arkansas were part of a reported $19 billion in overpayments made among all 50 states during the last three years.Arkansas' unemployment trust fund went as deep as $360 million in debt to the federal government as the state borrowed money from the feds to pay for jobless benefits.Arkansas legislators and business leaders changed a number of provisions in the past two sessions to repair the trust fund's solvency and projected that the state could be debt-free by 2015.The program covers tuition and related training expenses if an applicant completes a four-week training course at the Commercial Driver Training Institute at ASU-Newport and remains on the job for at least one year.GARVEE stands for ""Grant Anticipation Revenue Vehicle,"" a pledge of future funds from the federal government for Arkansas highways.Cit at ion (ag lc St yle )               'State revenue dips in August', Log Cabin Democrat (online), 3 Sep 2011  ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view? p=WORLDNEWS&docref=news/1696828F8FD690C0›  HONORARY CAPTAINS September 2, 2011 | Saline Courier, The (Benton, AR) Section: News 128 Words Page: 1 OpenURL Link   Participating in a light-hearted moment at the ceremony in which Saint-Gobain representatives and area leaders announced a plant expansion in Saline County are, from left, Christian James, Jack Larry, Vincent Shores and Shane Broadway, interim director of the state Department of Higher Education.The investment will bring up to 140 jobs by the end of 2012 that pay up to $20 an hour, said Antonio Vilela, vice president and general manager of Saint-Gobain NorPro, a Valley Forge Pa.-based subsidiary of Saint-Gobain.As part of an incentives package to get Saint-Gobain to build the plant, the state agreed to refund sales tax on building materials, a 1 percent tax credit on payroll for new, full-time, permanent employees for five years and a $1.75 million Community Development Block Grant for equipment.The investment will bring up to 140 jobs by the end of 2012 that pay up to $20 an hour, said Antonio Vilela, vice president and general manager of Saint-Gobain NorPro, a Valley Forge Penn.-based subsidiary of Saint-Gobain.As part of an incentives package to get Saint-Gobain to build the plant, the state agreed to refund sales tax on building materials, a 1 percent tax credit on payroll for new, full-time, permanent employees for five years and a $1.75 million Community Development Block Grant for equipment.To help secure the plant, the state kicked in a sales tax rebate on building materials - a significant sum  considering the plant's estimated $100 million price tag.Saint-Gobain will also receive a 1 percent income tax credit on payroll for new, full-time permanent employees for five years.Joining Broadway on the podium for a light-hearted moment during Wednesday's ceremony were Christian James, Jack Larry and Vincent Shores.Bauxite propants have been manufactured in Fort Smith since 1979, first by Norton Co. and later by Saint-Gobain Proppants, a subsidiary of Saint-Gobain.Bauxite propants have been manufactured in Fort Smith since 1979, first by Norton Co. and later by Saint-Gobain Proppants, a subsidiary of Saint-Gobain.Beebe said the state offered $1.75 million in Community Development Block Grant funds for site preparation and training as incentives.State Incentives: A sales tax refund for eligible building materials; a 1 percent income tax credit on new, full-time employees for five years; a $1.75 million grant to Saline County to buy equipment for the compnay.To help secure the plant, the state kicked in a sales tax rebate on building materials a significant sum  considering the plant's estimated $100 million price tag.Saint-Gobain will also receive a 1 percent income tax credit on payroll for new, full-time permanent employees for five years."
"Saint-Gobain","AR","The bonds will be issued to provide funds to finance the cost of acquiring, constructing, and equipping an industrial facility for the manufacture of ceramic proppants, consisting of the acquisition of land, construction of buildings and improvements, and acquisition and installation of equipment, located at 6400 Cyanamid Rd, Bryant, Arkansas 72022.31, 2011 at 8:30 a.m. at the Saline County Courthouse, 200 N Main St, Rm 117, Benton, AR 72015, for the purpose of identifying and prioritizing the community needs of Saline County, determining whether an application for Arkansas Community and Economic Development Program (ACEDP) funds should be developed and if so, for what community need.Also, comments on proposed project activities will be discussed, especially those with possible impacts on the community, should the project receive funding.ACEDP funds are federal assistance received by the State of Arkansas and administered by the Economic Development Commission.These funds will be made available to cities and counties according to need and can be used for housing rehabilitation, community facilities, or economic development, but must address one of the following objectives:Provide benefit to low and moderate income families, Aid in the prevention of slum and blight, or Meet other community needs, which pose a serious, immediate threat to the health or welfare of the community where no other funding is available to meet such needs.Saline County will provide technical assistance in developing proposals by groups representing low and moderate-income persons."
"Sam Dong","TN",""
"Santana Textiles","TX","The company, which announced in 2008 that it was establishing its first U.S.-based plant in Edinburg, expects to hire up to 120 employees by the end of the year to meet requirements for state incentives."
"Santana","TX",""
"Santana","TX","The Rockets' fundraising campaign is called ""10,000 Hugs-to-Help.""We are committed to assisting the various fundraising efforts that continue to be planned around our community in order to help provide Peter, Aaron and Willa with the support they will need in order to overcome the physical pain and devastating emotional trauma they have suffered.""Every penny raised by Clutch and the Rockets will be donated to the Joshua and Robin Berry Children's Trust fund that has been established by the family.To find out where Clutch will be giving ""Hugs-to-Help"" or to organize your own fundraising effort for the Berry kids with Clutch, click on www.rockets.com."
"Santana","TX","Mets (Pelfrey 5-9) at Cincinnati (Arroyo 7-8), 6:10 p.m.   Pittsburgh (Maholm 6-10) at Atlanta (Jurrjens 12-3), 6:10 p.m.   Chicago Cubs (Zambrano 7-5) at Milwaukee (Greinke 7-4), 7:10 p.m.   Houston (Norris 5-7) at St. Louis (C.Carpenter 6-7), 7:15 p.m.   Arizona (I.Kennedy 11-3) at San Diego (Luebke 3-4), 9:05 p.m.   Colorado (A.Cook 1-5) at L.A. Dodgers (Kuroda 6-12), 9:10 p.m.   FOOTBALL   NFL Training Camps   (With reporting date,   date of first preseason game)   AFC   BALTIMORE — Baltimore Ravens Training Facility, Owings Mills, Md., July 27, Aug. 11   BUFFALO — St. John Fisher College, Pittsford, N.Y., July 29, Aug. 13   CINCINNATI — Georgetown College, Georgetown, Ky., July 28, Aug. 12  CLEVELAND — Cleveland Browns Training Facility, Berea, Ohio, July 29, Aug. 13   DENVER — Paul D. Bowlen Memorial Broncos Centre, Englewood, Colo., July 27, Aug. 11   HOUSTON — Methodist Training Center, Houston, July 31, Aug. 15   INDIANAPOLIS — Anderson University, Anderson, Ind., July 31, Aug. 13   JACKSONVILLE — Everbank Field, Jacksonville, Fla., July 27, Aug. 11   KANSAS CITY — Missouri Western State University, St. Joseph, Mo., July 28, Aug. 12   MIAMI — Miami Dolphins Training Facility, Davie, Fla., July 28, Aug. 12   NEW ENGLAND — Gillette Stadium, Foxboro, Mass., July 27, Aug. 11   NEW YORK JETS — Atlantic Health Jets Training Facility, Florham Park, N.J., July 31, Aug. 15   OAKLAND — Napa Valley Marriott, Napa Valley, Calif., July 27, Aug. 11   PITTSBURGH — Saint Vincent College, Latrobe, Pa., July 28, Aug. 12   SAN DIEGO — Chargers Park, San Diego, July 27, Aug. 11   TENNESSEE — Baptist Sports Park, Nashville, Tenn., July 29, Aug. 13   ———   NFC   ARIZONA — Northern Arizona University, Flagstaff, Ariz., July 28, Aug. 11   ATLANTA — Atlanta Falcons Training Facility, Flowery Branch, Ga., July 28, Aug. 12   CAROLINA — Wofford College, Spartanburg, S.C., July 29, Aug. 13   CHICAGO — Olivet Nazarene University, Bourbonnais, Ill., July 29, Aug. 13   DALLAS — Grand Hyatt San Antonio/Alamodome, San Antonio, July 27, Aug. 11   DETROIT — Detroit Lions Training Facility, Allen Park, Mich., July 28, Aug. 12  GREEN BAY — St. Norbert College, De Pere, Wis., July 29, Aug. 13   MINNESOTA — Minnesota State University, Mankato, Mankato, Minn., July 31, Aug. 13   NEW ORLEANS — New Orleans Saints Training Facility, Metairie, La., July 28, Aug. 12   NEW YORK GIANTS — TIMEX Performance Center, East Rutherford, N.J., July 29, Aug. 13   PHILADELPHIA — Lehigh University, Bethlehem, Pa., July 27, Aug. 11   ST."
"Santana","TX","The old club has a right of first refusal to the players listed below and compensation of two No. 1 draft choices:   CLEVELAND — Phil Dawson, K   KANSAS CITY — Tamba Hali, LB   NEW ENGLAND — Logan Mankins, G   SAN DIEGO — Vincent Jackson, WR   In order to submit an offer sheet, a new club must have available the required choices, defined as its own or better choices in the first round in the 2012 and 2013 NFL drafts.The old club has a right of first refusal to the players listed below and compensation of two No. 1 draft choices: Cleveland -Phil Dawson, K Kansas City -Tamba Hali, LB New England -Logan Mankins, G San Diego -Vincent Jackson, WR In order to submit an offer sheet, a new club must have available the required choices, defined as its own or better choices in the first round in the 2012 and 2013 NFL drafts.___  SAN DIEGO CHARGERS: OLB Antwan Barnes, ILB Kevin Burnett, S Tyrone Carter, DE Jacques Cesaire, RT Jeromey Clary, ILB Stephen Cooper, LS James Dearth, WR Malcom Floyd, CB Dante Hughes, WR Vincent Jackson-a, DL Travis Johnson, TE Randy McMichael, G/C Scott Mruczkowski, LB Brandon Moore, WR Legedu Naanee, LS Ryan Neill, SS Paul Oliver, ILB Brandon Siler, RB Darren Sproles, QB Billy Volek, WR Kelley Washington, S Pat Watkins, FS Eric Weddle.The old club has a right of first refusal to the players listed below and compensation of two No. 1 draft choices:   CLEVELAND - Phil Dawson, K   KANSAS CITY - Tamba Hali, LB   NEW ENGLAND - Logan Mankins, G   SAN DIEGO - Vincent Jackson, WR   In order to submit an offer sheet, a new club must have available the required choices, defined as its own or better choices in the first round in the 2012 and 2013 NFL drafts."
"Santana","TX","WINNIPEG JETS-Named Pascal Vincent assistant coach."
"Santana","TX","Web: www.portercommunityfarm.com   Meetings Schedule   Midland-Odessa Urban Transit District Board   noon today   Midland-Odessa Transportation Organization (MOTOR) board room   Wright Office Complex, Suite 1, 9601 Wright Drive   Abell-Hanger gifts to Boy Scouts   The Buffalo Trail Council of the Boy Scouts of America recently received two donations from the Abell- Hanger Foundation -- an SUV to replace a vehicle that was damaged in a wreck and funds for the upkeep of horses at the Buffalo Trail Scout Ranch."
"Santana","TX",""
"Santana","TX","WASHINGTON NATIONALS-Announced LHP J.C. Romero was granted his unconditional release."
"Santana","TX","In lieu of flowers, donations may be made to Woodland Baptist church or Vitas Charitable Foundation, www.vitascharityfund.org.She was also one of only 350 currently practicing parliamentarians who earned the designation of Professional Registered Parliamentarian (PRP), the highest certification granted by the National Association of Parliamentarians."
"Santana","TX","“A paper record is necessary to protect the exercise of the fundamental right to vote,” the plaintiffs said in court filings."
"SASOL","LA","WHEREAS, Sasol North America's Lake Charles Chemical Complex employs approximately 400 people in Southwest Louisiana; and WHEREAS, The complex manufactures the primary ingredients for many household products such as detergents, personal care items, cleaners, food-grade additives and even pharmaceuticals; and WHEREAS, The company has consistently increased production while decreasing emissions to the environment over the years; and WHEREAS, Sasol is a strong supporter of the community through corporate donations and assistance; and WHEREAS, Sasol employees are deeply rooted in our community - making personal donations and giving thousands of volunteer hours annually to assist with everything from coaching and tutoring to home refurbishing and area beau- tification; and WHEREAS, Sasol has recently announced expansions in our area to create new jobs and beneficial products; and WHEREAS, Sasol's Lake Charles Chemical Complex is celebrating 50 years of operations in 2011; and WHEREAS, The complex will hold an anniversary celebration, which is open to the public on Saturday, October 22nd, from 10 - 2 at their administration building on Houston River Road in Westlake.It is funded by the individual themselves.This Academy does not receive any state or federal funds.The next item on the agenda is a public hearing on ordinance granting the subdivision of property for RR Company of America, LLC, located at 329 North Cities Service Hwy., in accordance with Article III, Part I, Section 1 (6) (e) of the Land Use ordinance of the City of Sulphur.BE IT ORDAINED by the City Council of the City of Sulphur, Louisiana, that they do hereby accept the subdividing of lots to RR Company of America, LLC, located at 329 North Cities Service Highway with the following stipulations:   - Means of access to the southwest parcel (Tract III, 1.67 Acres) must be granted.The next item on the agenda is a public hearing on ordinance granting a variance to Directional Services South, 215 Smith Road, to allow for improved surfacing for only 2 handicap parking spaces rather than the entire 21 spaces (regular parking spaces), in accordance with Article IV, Part 2, Section 7 of the Land Use Ordinance of the City of Sulphur.NOW THEREFORE, BE IT ORDAINED BY THE CITY COUNCIL OF THE CITY OF SULPHUR, LOUISIANA, IN REGULAR SESSION CONVENED THAT:   The Code of Ordinances of the City of Sulphur is hereby amended to grant a variance to Directional Services South, for the following described property to-wit:   8.56 ACS IN NE COR NW NE 35.9.10, LESS .46ACS FOR 30 FT RD R/W OFF N SIDE AND LESS 1.58 ACS SOLD SAID TRACT DESC AS: COM 711 FT E OF NW COR NE 35.9.10 (BEING 40 FT E OF NW COR NE NW NE 35.9.10) AND 30 FT S TO S SIDE PUB RD R/W, TH S 185 FT E 18 FT S 132 FT, E 193.52 FT S 208.7 FT E 419.48 FT TO E LINE SAID NW NE, TH N 525.7 FT W 631 FT TO COM  - CONTG 6.52 ACS UVNR REF1 - MORRIS GE ORGE SAVOY JR B 2054 F 244-88 This variance is granted by the City of Sulphur and may be withdrawn by the City of Sulphur should said variance interfere with the rights and privileges owned by the City of Sulphur pursuant to a pre-existing right of way, servitude or easement.If withdrawn, any improvements constructed thereon shall be removed at the expenses of owner thereof.Grantee hereby agrees and contracts to hold Grantor harmless from any damages created and/or caused by the granting of this variance, including, but not limited to, litigation defense, litigation costs, violation of subdivision restrictive covenants, building code violations or any other damages, property and/or monetary or otherwise, relating thereto.A bright outlook should provide incentive to young people to study hard, pursue job training and plan their lives here, where opportunity apparently abounds."
"SASOL","LA","When it comes to campaign fundraising, Jindal is head and shoulders above his opponents.Hollis said she has a full-time staff, which is working to raise funds for commercials in the New Orleans market.A new hangar at Chennault International Airport that is state and locally funded has the potential of adding at least 500 new jobs between current tenants Northrop Grumman and Aeroframe.Its Sasol North American Inc. subsidiary currently operates the 400- employee Sasol Lake Charles Chemical Complex in Westlake, with that facility located next to the city's ConocoPhillips petroleum refinery.The state has actively cultivated gas-to-liquid projects with Sasol and other energy companies around the world for about two years, say LED officials, who note the state is particularly positioned for this sector due to its proximity to the Haynesville Shale and other emerging deposits; Louisiana's tax structure and incentive offerings for manufacturers; a well-entrenched petrochemical infrastructure; and one of the largest port complexes in the world.It's not yet clear what economic incentives the state will make available for Sasol.Its Sasol North American Inc. subsidiary currently operates the 400- employee Sasol Lake Charles Chemical Complex in Westlake, with that facility located next to the city's ConocoPhillips petroleum refinery.A subsidiary of Sasol already operates a Westlake chemical facility that employs 400 workers.State officials are developing a package of economic incentives for Sasol in exchange for the project.Sasol said the complex would be the first of its kind to be built in the U.S.   A subsidiary of Sasol already operates a Westlake chemical facility that employs 400 workers.Its Sasol North American Inc. subsidiary currently operates the 400- employee Sasol Lake Charles Chemical Complex in Westlake, with that facility located next to the city's ConocoPhillips petroleum refinery.These advantages include but are not limited to: a large, world-class industrial construction and petrochemical operations workforce; proximity to the Haynesville Shale and other emerging shale plays; highly competitive tax structure and incentive offerings for manufacturers; extensive petrochemical infrastructure; and one of the largest port complexes in the world.LED  is working with Sasol on a customized incentive package for the project."
"Sekisui Plastics","TN","First,   tax relief,   including tax credits for companies that hire new workers.Third,   the president wants targeted assistance for the long- term unemployed.We intend to streamline many of the processes and provide incentives for existing businesses to grow.Additionally, the law requires each organization that raised more than $25,000 for a charitable purpose related to a disaster in Tennessee between May 1, 2010, and the effective date of the law to submit a financial report to the division by June 30, detailing all of the funds raised and spent for that charitable purpose."
"Siemens","KS","She was born on April 27, 1921, in Gale Township, Marion County, the daughter of Clark & Martha (Schlotthauer) Johnston.On Sept. 14, 1943, she married Albert R. Stroda; he preceded her in death on March 24, 1976.She was a farmwife and homemaker.She is survived by daughter, JoAnn (Bill) Fitzpatrick of Marion; 4 grandchildren: Joe Fitzpatrick of Galva; Jeff Fitzpatrick of Fairplay, CA; Jamie Fitzpatrick of Marion; and Jill (Jay) Reissig of Galva;great-grandchildren; and siblings: Walter (Anna) Johnston of Grove, OK; and Elnora Siemens of Salina.The Rosary will be recited Fri.7 p.m. with visitation until 8:30 p.m.Zeiner Funeral Home.Funeral Mass will be Sat., June 27, 2009 ata.m.Holy Family Parish, St. Mark's Church of Marion.Memorial fund established for St. Luke Living Center c/o Zeiner Funeral Home, PO Box 6, Marion, KS66861.The approximate $80,000 was funded through an outstanding project, launched 10 years ago by Hutchinson Credit Union, called the Hutch Card.Dino Dig, and its funding, is something the community and credit union President Garth Strand can take considerable pride in.However, virtually all discussion about the financial incentives government is willing to offer is required to take place in an open meeting, according to a 1988 Kansas attorney general opinion.Attorney general opinion   When The News asked the Kansas Attorney General's Office specifically about the discussion of financial incentives, Assistant Attorney General Michael Smith pointed to Attorney General Opinion No. 88-148, issued in October 1988 by then-Attorney General Robert Stephan.That opinion, involving the Geary County Economic Development Commission, stated that a board could discuss in executive session the use of public money to acquire land for business sites but that the exception did not extend to all discussions about financial incentives.But Patterson argues that to ""just say blanket, that you can't discuss financial incentives, I think that's reading that too broadly.""But the public board would not have been able to venture onto the topic of financial incentives, in the view of Merriam and according to the 1988 attorney general opinion.The lesson learned from that incident, Patterson said, is that the governing board must have a public discussion about incentives.But in Merriam's view, conducting the public discussion about government financial incentives after the contract is drafted and on the table represents ""a complete misunderstanding of executive session.""Financial incentives are not intended to be revealed in the first public discussion following secret negotiations, he said.The council's June 16 agenda originally included an item to approve the development agreement, which will outline the city's financial incentive offerings to the wind energy company.A financial incentive package, including $2 million in grants from local governments as well as the 100- acre business park site, was offered to the company.The incentive package has not yet been approved by local governments, although members of the Hutchinson and South Hutchinson city councils and the Reno County Commission are aware of the package and have discussed it in closed sessions.The Obama administration included in its stimulus package $56 billion in grants and tax breaks for clean energy projects over the next 10 years, and $15 billion annually in the budget.The federal government encouraged the growth of ethanol with significant subsidies and requirements.A tax credit to refiners amounts to 51 cents per gallon of ethanol.Last year's rapid growth was a reaction to high natural gas prices, free credit markets and continued government subsidies, he said.The stimulus bill approved in February converted the wind energy tax credit that Congress previously had to re-approve every year to a grant program that will run for three years.That allows investors to feel more secure and counteracts the drying up of the market for tax credits, he said.This unexpected but good news was made possible by a significant amount of city debt retirement in 2009, resulting in a projected six-mill reduction in the property tax levy feeding the bond and interest fund for 2010.The mill reduction in the bond and interest fund is balanced out by a needed   increase to the property tax levy in the general fund.Currently, city staff is suggesting a four-mill increase in the general fund, which would leave the public looking at a two-mill decrease to the city property tax levy overall.If both those projects move forward, it will require a three-mill increase to the property tax levy feeding the bond and interest fund in 2011, when payments on those bond issues will begin, said Finance Director Carl Myers.Seeking balance   Even with a four-mill increase to the general fund, operating expenses will outpace revenues by $1.65  million in 2010.In the past, the city has covered these overages with one-time transfers from other funds, such as the workers' compensation fund, the risk management fund and the refuse fund.Those funds' balances, however, will no longer be healthy enough to support the general fund, and the council has made a goal of creating a truly balanced budget - in which the city spends no more than it brings in - within three years.The city's goal then would be to lower the 2011 budget deficit to one-third of the 2008 level and have a truly balanced budget - without the use of any fund transfers - in 2012.The rest of the $1.65 million overage can be covered through one-time cuts or minimal transfers from other funds.For example, the $1.65 million overage was projected based on several assumptions - including that the city would increase it's general fund payment to the worker's compensation fund by $300,000 over last year's payment, and that it would budget for a $3 million general fund reserve - up by about $1.4 million from what was budgeted for 2009.These increases, staff say, are necessary to get fund reserves back to healthy levels.However, Deardoff acknowledged that the city could make less aggressive payments to those reserves in order to balance the general fund in 2010.Another assumption staff will make as it builds the 2010 budget is that there will be a $275,000 expense for pay raises."
"Siemens","KS","For the past several years, residents, under the Residential Renewable Energy Tax Credit, could apply for a tax credit for up to 30 percent of the cost of buying and installing renewable energy systems, including solar water heaters, photovoltaic cells, wind turbines, fuel cells or geothermal heat pumps.There is a separate federal grant and loan program for commercial or agricultural industries that install renewable energy systems.The Rural Energy for America Program offers a grant of up to 25 percent of the system cost and a guaranteed loan, which, when combined with the grant, can cover up to 75 percent of the project cost, up to $25 million.Net metering   Other new funding legislation is a net metering law adopted by Kansas lawmakers as part of the compromise bill to open the way for Sunflower Electric to build a new coal plant at Holcomb.Not a real incentive for private development, is it?Without the city investing $425,000 in 1998 to buy land and develop the Salt City Business Park south of Avenue G and west of Yoder Road, coupled with creating an economic opportunity fund with sales tax dollars three years earlier, Siemens probably would not have chosen Hutchinson.Not a real incentive for private development, is it?Another new law creates incentives for wind-power manufacturing plants to locate in Kansas and has already resulted in a German company, Siemens, announcing plans to manufacture turbines in Hutchinson, with the possible addition of 400 jobs to the economy.Holmes voted against an expansion of the State Children's Health Insurance Program, saying raising eligibility limits to 250 percent of poverty level would subsidize families making up to $80,000 a year.Local residents interested in developing new or existing businesses, and existing businesses interested in discussing their financing and other assistance needs, can meet with KSBDC counselors during this time.KSBDC assistance is confidential and provided without charge.Chanute artists invited to enter competition   The Topeka Art Guild invites Chanute artists to participate in their second annual ""Kansans Paint Kansas"" fundraising competition.The council's agenda originally included a discussion-only study session item regarding a development agreement with Siemens, which would include details on what incentives the city plans to offer, but that item was removed late last week.Cit at ion (ag lc St yle )               The News staff, 'Siemens discussion off council's agenda', Hutchinson News, The (online), 19               May 2009 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/1284A95E5F6093D8›  About incentives May 18, 2009 | Hutchinson News, The (KS) Author: John D. Montgomery/Hutchinson News editorial board 400 Words OpenURL Link   Aircraft interiors maker Precision Pattern didn't become the case study for why not to provide economic development incentives.If anything, Precision Pattern Interiors may be a model for how to incentives right.Likewise, few people are criticizing generous incentives assembled to help attract a Siemens AG wind turbine manufacturing plant to Hutchinson.No, if you want to criticize incentives, you will have to take a global approach.Economic development incentives long have been a sore point for many taxpayers.Now, a full property tax abatement is almost a given or a small, almost meaningless token in the incentives game.PPI was granted $50,000 in cash incentives by Reno County and the cities of Hutchinson, South Hutchinson and Haven to help the company move into a former Collins Industries building in the Yoder Industrial Park.The smart part of that incentive money is it was tied to performance markers.Siemens, meanwhile, is set to receive $2 million in local grants, plus 100 acres of land and a $2.5 million rail spur.And that is the argument for incentives.What is unpleasant about economic development incentives is the competitive factor, that communities have been pitted against each other, which over the years has raised the stakes.Cit at ion (ag lc St yle )               John D. Montgomery/Hutchinson News editorial board, 'About incentives', Hutchinson News, The               (online), 18 May 2009 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-The House version of the budget included a 4.75 percent cut in education funding, while the Senate version -- which was eventually adopted -- cut 2.75 percent.The pot of gold   A giant ""shovel ready"" park is the minimum needed to compete for one of the five or six 1,000-plus- worker factory relocations a year, said Vicki Pratt Gerbino, president of the Greater Wichita Economic Development Coalition.The objectives of the Attract sub-committee are to identify desired businesses, to identify and develop incentives and to actively recruit businesses to Chanute.City and county officials need to be on the lookout for matching funds and grant monies to make the development of this recreational venue a reality.He began with those who had the foresight in the early 1990s - including former City Manager Joe Palacioz, former Chamber President Jon Daveline, former City Engineer Dennis Clennan and former City Councilman Frank Stuckey - to develop the shovel-ready business park and set aside money annually for economic development incentives."
"Siemens","KS","Cit at ion (ag lc St yle )               'Siemens official to talk about plans', Hutchinson News, The (online), 12 May 2009               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/12825B9A8E21DFC8›  Golf benefit fund-raiser for bigs May 12, 2009 | St. John News (KS) Author: Gale Rose, Pratt Tribune; St. John News Section: homepage 157 Words OpenURL Link   A little golf is going a long way to help children that need a big brother or big sister.Each class chooses a project that benefits the community and children as required by the grant from the Kansas Health Foundation that helps sustain the program, Siemens said.Cit at ion (ag lc St yle )               Gale Rose, Pratt Tribune, St. John News, 'Golf benefit fund-raiser for bigs', St. John News (online),               12 May 2009 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/12E2F70421CF6158›  SPORTS IN BRIEF May 12, 2009 | Wichita Eagle, The (KS) Section: SPORTS 595 Words Page: 4B OpenURL Link   Basketball   Kansas coach Bill Self will be roasted at an American Diabetes Association fund raiser Oct. 7 at Century II's Exhibition Hall.Since it weighs in at some 90 tons, just shipping nacelles to a site is a huge expense.""They got a limited number of manufacturers initially through state incentives.The plan also introduces a new ""highway-byway"" approach, with the extra high voltage ""highway"" funded  regionally and the lower-voltage lines funded locally.Since it weighs in at some 90 tons, just shipping nacelles to a site is a huge expense.""They got a limited number of manufacturers initially through state incentives.The plan also introduces a new ""highway-byway"" approach, with the extra high voltage ""highway"" funded  regionally and the lower-voltage lines funded locally.Pryor Chemical is a subsidiary of LSB Industries.Koch Nitrogen is an affiliate of Koch Fertilizer, an indirect, wholly owned subsidiary of Wichita-based Koch Industries.""This comes at a time when we have additional funding to help individuals who need to brush up on skills or get training that will help them be more qualified for positions when they do start the hiring process,"" said Deb Scheibler, director of operations for Kansas Workforce One, headquartered in Great Bend.There is financial assistance to help adults who either are unemployed or underemployed tap Workforce assessments and training, Scheibler said.The state Legislature did well to extend an incentive program this past session that already has been  used to attract the Siemens plant.Cit at ion (ag lc St yle )               John D. Montgomery/Hutchinson News editorial board, 'Siemens spinoff', Hutchinson News, The               (online), 8 May 2009 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/12815D8C4FC6C1E0›  The bridge gap widens - Township hassled by loss of structures seeks answer from county short on funds May 8, 2009 | Hutchinson News, The (KS) Author: Mary Clarkin - The Hutchinson News - mclarkin@hutchnews.com""Our problem is funding,"" said Dillon, whose district includes the northeast area, on the topic of bridges.Revenues accruing over the years in that fund could be combined with county funds to replace bridges in townships.However, Dillon is cautious, pointing out that such a bridge-funding system in which a township's partial funding helps attract county dollars could favor the wealthier townships.Reno County has some funds available from a bridge bond issue, but McComb said a proposed structure on Haven Road, to complement drainage district improvements there, could need those funds.'The bridge gap widens -               Township hassled by loss of structures seeks answer from county short on funds', Hutchinson               News, The (online), 8 May 2009               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/12810864B7143C28›  Leader class targets Big Brothers May 8, 2009 | Pratt Tribune, The (KS) Author: Gale Rose; The Pratt Tribune Section: homepage 506 Words OpenURL Link   A little golf is going a long way to help children that need a big brother or big sister.Each class chooses a project that benefits the community and children as required by the grant from the Kansas Health Foundation that helps sustain the program, Siemens said.She was approached about turning the tournament over to Leadership 2000 as a fundraiser and she was delighted to do it, Montei said.A financial incentive package also has been offered.It includes $2 million in grants from the local governments as well as the 100-acre site.Local officials are hopeful that a grant through the American Recovery and Reinvestment Act will cover that cost.There will also be training grants and forgivable loans from the state of Kansas.The incentive package has not yet been approved by local governments, although members of the Hutchinson and South Hutchinson city councils and the Reno County Commission are aware of the package and have discussed it in closed sessions.Still to be released are details of the work-in-progress economic development proposal, expected to include a promise of $2 million in assistance from local governments.South Hutchinson will have a lesser role in financing incentives for Siemens, but it will be on board, too."
